Date (HE),Price ($),30Ravg ($),AIL Demand (MW)
01/01/2019 01,32.9,43.16,10008
01/01/2019 02,32.78,43.13,9868
01/01/2019 03,32.78,43.1,9736
01/01/2019 04,32.78,43.07,9597
01/01/2019 05,32.13,43.04,9530
01/01/2019 06,27.19,43.01,9526
01/01/2019 07,27.19,42.97,9601
01/01/2019 08,27.17,42.94,9654
01/01/2019 09,27.15,42.9,9714
01/01/2019 10,27.16,42.87,9726
01/01/2019 11,28.07,42.83,9844
01/01/2019 12,32.4,42.8,9934
01/01/2019 13,32.88,42.78,9998
01/01/2019 14,32.85,42.74,9979
01/01/2019 15,32.78,42.67,9964
01/01/2019 16,32.78,42.59,10032
01/01/2019 17,32.99,42.51,10311
01/01/2019 18,33.18,42.43,10614
01/01/2019 19,33.14,42.36,10478
01/01/2019 20,33.04,42.28,10356
01/01/2019 21,32.47,42.2,10200
01/01/2019 22,27.43,42.12,9991
01/01/2019 23,26.24,42.08,9702
01/01/2019 24,26.83,42.02,9442
01/02/2019 01,27.66,41.95,9267
01/02/2019 02,28.46,41.91,9149
01/02/2019 03,28.46,41.87,9154
01/02/2019 04,27.26,41.84,9194
01/02/2019 05,28.19,41.79,9257
01/02/2019 06,28.46,41.74,9439
01/02/2019 07,30.13,41.69,9778
01/02/2019 08,32.06,41.62,10152
01/02/2019 09,32.9,41.55,10395
01/02/2019 10,33.14,41.48,10487
01/02/2019 11,33.21,41.4,10551
01/02/2019 12,33.21,41.32,10589
01/02/2019 13,33.14,41.26,10532
01/02/2019 14,33,41.22,10484
01/02/2019 15,32.78,41.17,10374
01/02/2019 16,32.76,41.14,10384
01/02/2019 17,32.85,41.12,10570
01/02/2019 18,33.23,41.09,10773
01/02/2019 19,33.22,41.08,10619
01/02/2019 20,33.18,41.06,10503
01/02/2019 21,33.09,40.99,10396
01/02/2019 22,32.78,40.98,10206
01/02/2019 23,29.05,40.97,9872
01/02/2019 24,28.46,40.97,9590
01/03/2019 01,32.85,40.94,9407
01/03/2019 02,28.75,40.93,9290
01/03/2019 03,28.46,40.93,9221
01/03/2019 04,28.46,40.91,9212
01/03/2019 05,28.46,40.9,9230
01/03/2019 06,28.8,40.89,9383
01/03/2019 07,31.47,40.89,9680
01/03/2019 08,29.15,40.89,10056
01/03/2019 09,32.53,40.89,10325
01/03/2019 10,32.78,40.88,10334
01/03/2019 11,32.78,40.88,10435
